source,track_uri,track_name,artist_name,artist_popularity,artist_genres,album,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
playlist,spotify:track:6YewfSA18qq5xl1KlJQkpY,Chor,Justh,46,[],Chor,59,0.776,0.408,6,-9.378,1,0.106,0.701,0,0.293,0.496,119.888,audio_features,6YewfSA18qq5xl1KlJQkpY,spotify:track:6YewfSA18qq5xl1KlJQkpY,https://api.spotify.com/v1/tracks/6YewfSA18qq5xl1KlJQkpY,https://api.spotify.com/v1/audio-analysis/6YewfSA18qq5xl1KlJQkpY,208250,4
playlist,spotify:track:46QbY78ha62aiu6gBgC7lS,G.O.A.T.,Diljit Dosanjh,77,"['filmi', 'modern bollywood', 'punjabi pop']",G.O.A.T.,63,0.544,0.917,1,-3.403,0,0.259,0.00313,0,0.26,0.686,176.068,audio_features,46QbY78ha62aiu6gBgC7lS,spotify:track:46QbY78ha62aiu6gBgC7lS,https://api.spotify.com/v1/tracks/46QbY78ha62aiu6gBgC7lS,https://api.spotify.com/v1/audio-analysis/46QbY78ha62aiu6gBgC7lS,223636,4
playlist,spotify:track:6cpk00i5TxCqSeqNi2HuIe,One More Night,Maroon 5,83,['pop'],Overexposed Track By Track,72,0.716,0.821,5,-3.435,0,0.0314,0.0558,0,0.0844,0.618,92.997,audio_features,6cpk00i5TxCqSeqNi2HuIe,spotify:track:6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/tracks/6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/audio-analysis/6cpk00i5TxCqSeqNi2HuIe,219547,4
playlist,spotify:track:1SS0WlKhJewviwEDZ6dWj0,SPOT!,ZICO,69,"['k-pop', 'korean r&b']",SPOT!,81,0.875,0.782,5,-3.905,0,0.078,0.151,0,0.113,0.906,108.038,audio_features,1SS0WlKhJewviwEDZ6dWj0,spotify:track:1SS0WlKhJewviwEDZ6dWj0,https://api.spotify.com/v1/tracks/1SS0WlKhJewviwEDZ6dWj0,https://api.spotify.com/v1/audio-analysis/1SS0WlKhJewviwEDZ6dWj0,167707,4
playlist,spotify:track:3aUp8U4MNWctRXlY5MPysv,The Monster,Eminem,90,"['detroit hip hop', 'hip hop', 'rap']",The Marshall Mathers LP2,49,0.781,0.853,1,-3.68,0,0.0714,0.0526,0,0.12,0.626,110.046,audio_features,3aUp8U4MNWctRXlY5MPysv,spotify:track:3aUp8U4MNWctRXlY5MPysv,https://api.spotify.com/v1/tracks/3aUp8U4MNWctRXlY5MPysv,https://api.spotify.com/v1/audio-analysis/3aUp8U4MNWctRXlY5MPysv,250189,4
playlist,spotify:track:69CrOS7vEHIrhC2ILyEi0s,FLOWER,JISOO,63,['k-pop'],ME,65,0.843,0.389,9,-7.669,0,0.036,0.0316,6.20E-06,0.0982,0.639,123.956,audio_features,69CrOS7vEHIrhC2ILyEi0s,spotify:track:69CrOS7vEHIrhC2ILyEi0s,https://api.spotify.com/v1/tracks/69CrOS7vEHIrhC2ILyEi0s,https://api.spotify.com/v1/audio-analysis/69CrOS7vEHIrhC2ILyEi0s,173134,4
playlist,spotify:track:5iyNH1Dmxif1k4Nl1gMeuh,Masakali,Mohit Chauhan,73,"['filmi', 'modern bollywood']",Delhi-6,58,0.678,0.622,5,-7.988,0,0.0695,0.138,2.32E-06,0.122,0.535,100.005,audio_features,5iyNH1Dmxif1k4Nl1gMeuh,spotify:track:5iyNH1Dmxif1k4Nl1gMeuh,https://api.spotify.com/v1/tracks/5iyNH1Dmxif1k4Nl1gMeuh,https://api.spotify.com/v1/audio-analysis/5iyNH1Dmxif1k4Nl1gMeuh,288647,4
playlist,spotify:track:7pBcon5GqvUfn58HRfF8wv,Afreen Afreen (Coke Studio Season 9),Rahat Fateh Ali Khan,71,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",Afreen Afreen (Coke Studio Season 9),45,0.386,0.558,8,-4.525,1,0.045,0.709,0,0.121,0.514,187.27,audio_features,7pBcon5GqvUfn58HRfF8wv,spotify:track:7pBcon5GqvUfn58HRfF8wv,https://api.spotify.com/v1/tracks/7pBcon5GqvUfn58HRfF8wv,https://api.spotify.com/v1/audio-analysis/7pBcon5GqvUfn58HRfF8wv,400000,4
playlist,spotify:track:4O5ERhWIhAnBelhNDHcSlA,Oh Girl You're Mine .,Tarun Sagar,41,[],Housefull,54,0.875,0.625,1,-7.28,1,0.0495,0.472,0.0153,0.0464,0.874,111.034,audio_features,4O5ERhWIhAnBelhNDHcSlA,spotify:track:4O5ERhWIhAnBelhNDHcSlA,https://api.spotify.com/v1/tracks/4O5ERhWIhAnBelhNDHcSlA,https://api.spotify.com/v1/audio-analysis/4O5ERhWIhAnBelhNDHcSlA,235706,4
playlist,spotify:track:1ai3itvPFcWilE9NX0JTCf,Mera Mann Kehne Laga,Falak Shabbir,50,"['classic pakistani pop', 'desi pop', 'pakistani pop', 'sufi']",Latest Songs Of Ayushmann Khurrana,53,0.46,0.444,7,-6.217,1,0.123,0.714,2.65E-05,0.0881,0.7,74.977,audio_features,1ai3itvPFcWilE9NX0JTCf,spotify:track:1ai3itvPFcWilE9NX0JTCf,https://api.spotify.com/v1/tracks/1ai3itvPFcWilE9NX0JTCf,https://api.spotify.com/v1/audio-analysis/1ai3itvPFcWilE9NX0JTCf,227335,4
